"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,98252,"95519","CA","Eureka","Humboldt","McKinleyville",5410,275300,0.00731796560556165,0.0276222471071295,0.038476046774802,0.00434222991247779,-0.0241387161863746,"2005-12","2005-Q4",353800,-0.221876766534765,"2004-09"
2016-02-29,90987,"75601","TX","Longview","Gregg","Longview",5411,118300,-0.000844594594594595,-0.00168776371308017,-0.0033698399326032,0.00814101221899999,0.0202601845601555,"2013-07","2013-Q3",129900,-0.0892994611239415,"2011-07"
2016-02-29,78226,"46714","IN","Fort Wayne","Wells","Bluffton",5412,101300,-0.00393313667649951,-0.0117073170731707,0.000988142292490119,0.00892093493193702,-0.000295668670375338,"2014-02","2014-Q1",110200,-0.0807622504537205,"2013-02"
2016-02-29,85922,"63104","MO","St. Louis","Saint Louis City","Saint Louis",5413,189400,0.00211640211640212,0.0101333333333333,0.0897583429228999,0.0192233520922127,0.0019748186302353,"2007-04","2007-Q2",208100,-0.0898606439211917,"2006-06"
2016-02-29,61185,"08812","NJ","New York","Somerset","Green Brook Township",5414,305500,0.000982961992136304,0.0139395950879522,0.0433743169398907,0.0154182292971601,-0.0189730253526008,"2006-06","2006-Q2",374600,-0.184463427656167,"2004-06"
2016-02-29,92097,"77707","TX","Beaumont","Jefferson","Beaumont",5415,96900,0.00206825232678387,0.00518672199170124,0.0430570505920344,-0.0159279531356727,0.00641242389074148,"2010-04","2010-Q2",114400,-0.152972027972028,"2007-06"
2016-02-29,60473,"06850","CT","Stamford","Fairfield","Norwalk",5416,362200,-0.00439802089059923,-0.0157608695652174,-0.0307733476050308,0.00658877892342469,-0.0248631387644865,"2006-05","2006-Q2",471100,-0.231161112290384,"2003-11"
2016-02-29,92555,"78617","TX","Austin","Travis","Austin",5417,148500,0.00270087778528022,-0.000672947510094213,0.0951327433628319,0.0591762953155635,0.0170513760065587,"2015-11","2015-Q4",148600,-0.000672947510094213,"2015-11"
2016-02-29,64901,"17070","PA","Harrisburg","Cumberland","New Cumberland",5418,154900,-0.00321750321750322,-0.00832266325224072,-0.00385852090032154,-0.000386897201226533,0.00156273493712722,"2007-06","2007-Q2",164100,-0.0560633759902498,"2006-05"
2016-02-29,399642,"80923","CO","Colorado Springs","El Paso","Colorado Springs",5419,239200,0.00293501048218029,0.0135593220338983,0.0368443866493281,0.0262827389856457,0.00712783434289577,"2016-02","2016-Q1",239200,0,"2016-02"
